,Location,Latitude,Longitude,Altitude
431,station_431,27.6437,85.63998,870.0
432,station_432,27.50472,85.50667,1946.0
433,station_433,27.62689,85.74215,1314.0
434,station_434,27.57093,85.78195,1506.0
435,station_435,27.42743,85.49119,1026.0
436,station_436,27.3975,85.63072,1253.0
437,station_437,27.46843,85.65714,1640.0
438,station_438,27.51128,85.75572,1742.0
439,station_439,27.67465,85.32364,1326.0
440,station_440,27.58653,85.379,1599.0
441,station_441,27.63263,85.38239,1376.0
442,station_442,27.66617,85.30975,1301.0
443,station_443,27.52091,85.34789,1713.0
444,station_444,27.47458,85.40533,1453.0
445,station_445,27.64432,85.09956,1812.0
446,station_446,27.29583,85.3667,463.0
447,station_447,27.3401,85.21159,351.0
448,station_448,27.5326,85.11616,1204.0
449,station_449,27.60147,85.18921,1596.0
450,station_450,27.60988,84.95558,1149.0
451,station_451,27.41187,85.14203,905.0
452,station_452,27.48565,84.8599,328.0
453,station_453,27.59758,84.85797,1159.0
454,station_454,27.42839,85.03219,466.0
455,station_455,27.82594,85.11147,1451.0
456,station_456,27.89277,85.14966,576.0
457,station_457,27.94967,85.39359,1121.0
458,station_458,27.81717,85.24556,1850.0
459,station_459,28.03525,85.10528,1985.0
460,station_460,27.86135,85.40489,1213.0
461,station_461,27.915074746,85.235381823,1000.0
462,station_462,27.89607,85.31347,1390.0
463,station_463,27.85116,85.36543,1058.0
464,station_464,27.94628,85.23922,1104.0
465,station_465,27.96657,85.33973,1539.0
466,station_466,27.88355,85.04134,770.0
467,station_467,27.37073,86.05003,802.0
468,station_468,27.32207,86.05913,1073.0
469,station_469,27.52115,85.9411,2263.0
470,station_470,27.58384,86.28,2488.0
471,station_471,27.42641,85.91784,799.0
472,station_472,27.44814,86.18537,2436.0
473,station_473,27.50677,85.86131,1409.0
474,station_474,27.64432,86.44809,2038.0
475,station_475,28.183250125,85.415950059,4263.0
476,station_476,28.21175,85.54707,3732.0
477,station_477,28.02869,85.21946,1980.0
478,station_478,28.01946,85.30304,2124.0
479,station_479,28.07173,85.18574,2134.0
480,station_480,26.99064,86.2725,194.0
481,station_481,27.21104,85.91268,519.0
482,station_482,27.34461,85.7938,1270.0
483,station_483,27.26159,86.05895,979.0
484,station_484,27.33363,85.48663,898.0
485,station_485,27.24806,85.70006,355.0
486,station_486,27.1841,86.29469,2020.0
487,station_487,27.38049,85.87751,953.0
488,station_488,27.13306,86.13256,740.0
489,station_489,27.79124,85.89809,878.0
490,station_490,27.75092,85.73006,1447.0
491,station_491,27.83022,85.57661,842.0
492,station_492,27.73458,85.78235,695.0
493,station_493,27.93172,85.90808,2837.0
494,station_494,27.9577,85.55064,1554.0
495,station_495,27.78413,85.62823,1379.0
496,station_496,28.00347,85.80813,3183.0
497,station_497,27.6804,85.88278,2125.0
498,station_498,27.9512,85.68458,2755.0
499,station_499,27.70766,85.81775,1699.0
500,station_500,27.75215,85.95203,2363.0
501,station_501,28.267588798447,83.599391716966,967.0
502,station_502,28.39009,83.11711,2053.0
503,station_503,28.25316,83.3833,3017.0
504,station_504,28.14943,83.58733,1639.0
505,station_505,28.26792,83.2537,2204.0
506,station_506,28.1364,83.51072,1842.0
507,station_507,28.263,83.50821,1470.0
508,station_508,28.37636,83.02216,2286.0
509,station_509,28.39651,83.25399,2092.0
510,station_510,28.33541,83.37422,2016.0
511,station_511,28.00242,84.62009,1155.0
512,station_512,28.04784,84.49116,580.0
513,station_513,28.11909,84.81688,1729.0
514,station_514,28.15162,84.64008,1789.0
515,station_515,28.20301,84.74755,1927.0
516,station_516,27.98003,84.47763,858.0
517,station_517,28.542,84.87538,3310.0
518,station_518,28.31322,84.89839,1362.0
519,station_519,28.318841303,84.79019815,3845.0
520,station_520,27.92762,84.64239,1106.0
521,station_521,28.08588,84.5884,1454.0
522,station_522,28.21822,83.97697,862.0
523,station_523,28.43273,83.80456,2892.0
524,station_524,28.40112,83.98261,1507.0
525,station_525,28.12363,84.10767,692.0
526,station_526,28.14492,84.17076,708.0
527,station_527,28.22956,84.35541,1160.0
528,station_528,28.14758,84.26809,613.0
529,station_529,28.10863,84.49414,1198.0
530,station_530,28.13237,84.4168,751.0
531,station_531,28.2917,84.52849,2410.0
532,station_532,28.23654,84.58983,2811.0
533,station_533,28.31097,84.24882,1386.0
534,station_534,28.289330951,84.43006976,2380.0
535,station_535,28.55062,84.25332,2595.0   
536,station_536,28.672919258,84.224515192,3523.0
537,station_537,28.699028,84.255998,3523.0
538,station_538,28.518759,84.358044,3523.0  
539,station_539,28.76995,83.74752,3538.0
540,station_540,28.98131435,83.857874677,3451.0
541,station_541,29.15568,83.94859,3877.0
542,station_542,28.69062,83.58839,3049.0
543,station_543,28.98131435,83.857874677,3451.0
544,station_544,28.34476,83.56376,978.0
545,station_545,28.52293,83.70039,2819.0
546,station_546,28.553145105,83.459987712,3368.0
547,station_547,28.42125,83.36207,1846.0
548,station_548,28.37861,83.44644,1256.0
549,station_549,28.53503,83.51666,1963.0
550,station_550,27.71443,84.20158,543.0
551,station_551,27.73329,84.34122,429.0
552,station_552,27.62478,84.14164,157.0
553,station_553,27.63571,83.98817,290.0
554,station_554,27.633725066,83.953150123,186.0
555,station_555,27.63079,83.86238,167.0
556,station_556,27.81891,84.19348,598.0
557,station_557,27.73602,83.98428,1211.0
558,station_558,28.22132,83.67977,914.0
559,station_559,28.15813,83.64115,770.0
560,station_560,28.04068,83.56833,720.0
561,station_561,27.36845,87.37216,1676.0
562,station_562,28.09531,83.67373,1483.0
563,station_563,28.12436,83.64531,1110.0
564,station_564,28.04939,83.66475,710.0
565,station_565,27.58745,86.09845,1463.0
566,station_566,28.06740998899,83.807164991185,762.0
567,station_567,27.95817,83.65736,979.0
568,station_568,28.08826,83.85869,868.0
569,station_569,27.98536,83.76829,787.0
570,station_570,28.16829,83.80122,1021.0
571,station_571,28.07222,83.76014,1285.0
572,station_572,28.0211,83.89361,598.0
573,station_573,27.97621,83.95355,1285.0
574,station_574,27.95304,83.53811,787.0
575,station_575,28.16092,83.88977,1091.0
576,station_576,28.00235,84.41739,497.0
577,station_577,27.98918,84.06421,737.0
578,station_578,28.00371,84.279,509.0
579,station_579,28.06128,84.04733,633.0
580,station_580,27.90954,84.53028,328.0
581,station_581,27.92427,84.40538,712.0
582,station_582,27.79595,84.42048,717.0
583,station_583,27.89851,84.04693,505.0
584,station_584,28.00716,84.15608,501.0
585,station_585,27.955337109,84.251223445,654.0
586,station_586,28.881355419,81.678899186,870.0
587,station_587,28.93497,81.56441,1248.0
588,station_588,28.85668,81.6047,1426.0
589,station_589,28.8574,81.72687,1491.0
590,station_590,28.80132,81.81634,1363.0
591,station_591,28.94584,81.63676,1357.0
592,station_592,28.75273,81.71793,1116.0
593,station_593,28.71071,81.64515,1829.0
594,station_594,28.94235,81.69993,1721.0
595,station_595,28.90184,81.8079,1214.0
596,station_596,28.97632,81.5267,1492.0
