Location,Latitude,Longitude,Altitude
Mali,27.62,86.27,2141.0
Suri,27.73,86.2,1677.0
Kaigaon,29.25,82.68,4455.0
Saldang,29.38,83.12,4535.0
Tinje,29.28,83.28,4655.0
Dhou,29.08,83.18,5118.0
Dunai,28.87,82.87,3607.0
Juphal,28.95,82.8,3432.0
Rimi,29.12,82.5,2931.0
Munigaon,29.12,82.43,612.0
Tarmi,29.07,82.43,3282.0
Sunhoo,28.95,82.7,2696.0
Majhfal,28.87,82.78,3417.0
Chapali,29.38,80.9,2224.0
Toleni,29.38,81.0,1943.0
Maadevstan,29.33,80.88,1593.0
Khatiwada,29.3,80.95,1880.0
Sanagaon,29.25,81.07,1360.0
SIlgadhi,29.27,80.93,706.0
Latamandu,29.28,80.82,1100.0
Mudadhara,29.2,80.83,1496.0
SaraswotiNagar,29.15,80.72,1702.0
Kapaleke,29.17,80.87,2343.0
Dhirkamandu,29.1,80.93,2166.0
Gharkeswor,29.13,80.6,1692.0
Laxminagar,29.05,80.68,1650.0
Bipinagar,29.0,80.73,911.0
Pokhari,29.2,81.08,1298.0
Tikhatar,29.13,80.98,1581.0
Lanakedareswor,29.03,80.95,1173.0
Dhangalgaon,28.97,80.93,1316.0
Kanachpur,29.02,81.1,874.0
Simchaur,28.98,81.02,946.0
NIrauli,29.05,80.75,1154.0
Patal,29.03,80.78,1566.0
Manakapadi,29.07,80.85,1473.0
Chhatiwon,29.07,80.6,1332.0
Ghyalchok,27.82,84.72,995.0
Bhumichok,27.82,84.67,820.0
Makaising,27.87,84.65,1004.0
Manakamana,27.88,84.57,934.0
Phujel,27.9,84.7,824.0
Ghairung,27.92,84.63,1142.0
Deurali,27.92,84.5,822.0
Shyangli,27.97,84.45,596.0
Mrikot,27.98,84.52,716.0
borlang,27.97,84.73,686.0
Gorkha,27.98,84.62,958.0
Nareshow,28.02,84.6,740.0
Palungtar,28.03,84.47,575.0
Khoplang,28.03,84.53,781.0
Takukot,28.07,84.68,1055.0
Aarughat,28.03,84.8,515.0
Jaubari,28.1,84.62,1072.0
Hansapur_1,28.15,84.62,1396.0
Simjung,28.17,84.68,1350.0
Thumi,28.12,84.8,2037.0
Lapu,28.17,84.85,2059.0
Kharibot,28.22,84.65,2377.0
Laprak,28.22,84.8,2018.0
Ghyachok,28.27,84.68,2983.0
Prok,28.52,84.82,2223.0
Manbu,28.13,84.9,2262.0
Runchet,28.25,84.9,1783.0
Keraujaa,28.32,84.98,4204.0
Hawangdi,28.23,83.08,2345.0
Darlung,28.23,83.13,1698.0
Neta,28.23,83.18,1659.0
Malagri,28.17,83.03,1632.0
Sirseni,28.17,83.08,1403.0
Purkotdaha,28.13,83.05,1471.0
Wagla,28.15,83.12,1281.0
Amarpur,28.15,83.15,1158.0
Dohali,28.18,83.22,1269.0
Pipaldhara,28.08,83.13,1383.0
Dhukot,28.12,83.2,917.0
Musikot,28.17,83.27,1146.0
Kugha,28.15,83.32,1259.0
Gumli,28.08,83.28,1479.0
Aapchaur,28.12,83.33,1641.0
Resunga,28.05,83.25,1629.0
Rupakot,28.05,83.37,933.0
Shantipur,28.1,83.4,1369.0
Gwagha,28.1,83.47,2008.0
Bharse,28.07,83.43,1746.0
Digam,27.97,83.37,978.0
Limgha,28.02,83.47,1529.0
Thulo Lumpek,27.98,83.5,1658.0
Khagal Gaon,30.05,81.72,3565.0
Dandafaya,30.0,81.77,2469.0
Simikot,29.98,81.83,3410.0
Raya,29.85,81.83,3428.0
Rodikot,29.85,81.97,3461.0
Sarkeedeu,29.77,81.83,3319.0
Jair,29.72,81.97,2605.0
Kalika_1,29.72,81.8,2976.0
Shreenagar,29.68,81.87,2401.0
Maila,29.63,81.73,2449.0
Darma,29.68,82.12,3423.0
maimajhuwa,27.07,87.95,2452.0
Jamuna,27.03,88.0,1974.0
Maipokhari,27.02,87.9,2384.0
Jogmai,27.0,88.05,1967.0
ManBhanjhyang,26.97,88.1,1692.0
Nayabazar,26.93,88.03,1709.0
Suryodaya,26.88,88.05,1541.0
Kanyam,26.85,88.08,1486.0
Kolbung,26.78,88.03,604.0
Ilam,26.9,87.92,1072.0
Sakhejung,26.98,87.87,1941.0
Phakphok,27.0,87.75,1535.0
Mangalbare,26.95,87.82,1272.0
Lumba,26.92,87.73,1017.0
Ibhang,26.87,87.75,996.0
Sakfara,26.82,87.65,832.0
Bajho,26.78,87.72,329.0
Danabari,26.75,87.9,263.0
Mahamai,26.73,87.82,270.0
Chulachuli,26.7,87.75,205.0
Godak,26.88,87.97,1138.0
Jirmale,26.78,88.13,521.0
Barbote,26.95,87.9,1385.0
Nayakwada,29.07,82.32,3846.0
Rokayagaon,29.02,82.18,2916.0
Pairk,28.85,82.13,2411.0
Ramidanda,28.98,82.25,1966.0
Sakela,28.93,82.35,3591.0
Ragda,28.93,82.45,2905.0
Danabari_1,28.95,82.0,2692.0
Garkhakot,28.88,82.02,1917.0
Archhani,28.87,82.12,2029.0
Lahai,28.83,82.27,1869.0
Khagenkot,28.82,82.35,2014.0
Dhume,28.82,82.17,1644.0
Khalanga,28.73,82.18,1383.0
Punama,28.7,82.13,1298.0
Jagatipur,28.63,82.15,1001.0
Bhoor,28.65,82.07,1091.0
Jhapra,28.67,82.08,1246.0
Pajara,28.78,82.03,1461.0
Kortrang,28.85,81.93,1560.0
Majhakot,28.8,81.93,1554.0
Salma,28.73,81.93,1423.0
Dasera,28.73,82.0,1318.0
Sima,28.65,81.93,1079.0
Karkigaon,28.68,82.05,1967.0
Khudabari,26.72,87.97,214.0
Shantinagarr,26.73,88.07,279.0
bahundangi,26.73,88.15,261.0
Sanischare,26.67,88.0,186.0
Kanki,26.63,87.9,150.0
Birtamode,26.62,87.98,150.0
Chandragadhi,26.58,88.07,149.0
Damak,26.67,87.67,148.0
Kerkha,26.63,87.77,170.0
Shivasatakshi,26.6,87.82,149.0
Gauradaha,26.55,87.72,110.0
ohabara,26.5,87.67,109.0
Gauriganj,26.45,87.72,111.0
Kumarkhod,26.47,87.83,109.0
Sharanamati,26.53,87.88,111.0
Rajgadh,26.48,87.93,109.0
Pathariya,26.42,87.98,110.0
{rithvinagar,26.47,88.07,116.0
Bhadrapur,26.53,88.08,110.0
Goldnap,26.53,87.95,110.0
Garamahi,26.58,87.95,149.0
Birat,29.42,81.97,3027.0
Malikabota,29.42,82.07,3040.0
Bumramadincahur,29.38,82.15,3177.0
Dillicahur,29.4,82.32,3512.0
Patarasi,29.32,82.45,3913.0
Narakot,29.33,82.0,2763.0
Chandranath,29.3,82.15,3256.0
Garjyangkot,29.23,82.27,2746.0
Guthichaur,29.17,82.4,3887.0
Hanku,29.15,82.2,3779.0
Tamti,29.05,82.1,3352.0
Malikathanta,29.15,82.02,3248.0
Mahabe,29.23,81.87,2959.0
Badki,29.3,81.95,2862.0
Lamla,29.25,82.08,2986.0
Sanigaon,29.33,82.08,3385.0
Dharpa,29.35,81.95,2733.0
Sahajpur,29.0,80.58,915.0
Dudhetola,28.92,80.58,1179.0
Malakheti,28.83,80.55,255.0
Aattariya,28.78,80.6,232.0
Hasanpyr,28.7,80.6,229.0
Nigali,28.97,80.72,1590.0
Katunje,28.9,80.85,1189.0
pandaun,28.87,80.97,1297.0
Khairala,28.85,80.75,691.0
Kailali,28.82,80.88,477.0
Chaumala,28.75,80.75,208.0
Urma,28.68,80.7,228.0
Phulbari_1,28.62,80.7,188.0
Basauti,28.6,80.8,188.0
Baliya,28.63,81.18,250.0
Pratappur,28.6,81.07,188.0
Tikapur,28.5,81.1,189.0
Bhajani,28.48,80.97,189.0
Boniya,28.58,81.03,189.0
Dholagohe,29.4,81.8,2747.0
Kheen,29.37,81.88,2800.0
Mumrakot,29.32,81.58,2849.0
Phulkot,29.28,81.65,2716.0
Thirpu,29.27,81.78,2052.0
Rupsa,29.23,81.52,2112.0
Sipkhana,29.25,81.62,1960.0
Malkot,29.18,81.5,2221.0
Manma,29.13,81.6,1160.0
Badalkot,29.18,81.65,2047.0
Chhapre,29.17,81.75,2979.0
Gela,29.07,81.7,2759.0
Ranchuli,29.15,81.85,2382.0
Chilkhaya,29.08,81.83,3126.0
Odanaku,29.17,81.82,2308.0
Raikawar,28.77,80.48,228.0
Baisi Bichawa,28.7,80.48,228.0
Punarbas,28.65,80.47,223.0
Betaun,28.68,80.35,225.0
Rampur Bilaspur,28.72,80.3,189.0
Beldandi,28.77,80.25,216.0
Sankarpur,28.75,80.37,228.0
Dekhatbhuli,28.82,80.38,230.0
Jhalari,28.83,80.32,230.0
Pipaladi,28.87,80.32,247.0
Krishnapur,28.9,80.43,279.0
Jhalaripipaladi,28.95,80.38,294.0
Mahendranagar,28.93,80.28,228.0
Daijee,28.98,80.28,290.0
Bhimdatta,28.98,80.15,256.0
Chadani,28.92,80.08,229.0
Dodhara,28.92,80.09,229.0
Bachhuwa,28.82,80.23,209.0
Nigalihawa,27.62,83.1,137.0
Temple,27.62,83.13,140.0
Asoka Pillar,27.58,83.08,131.0
Tilaurakot,27.57,83.08,127.0
Jahari,27.58,83.12,129.0
Kapilbastu,27.55,83.03,133.0
Dohani,27.52,83.08,124.0
Kuda,27.52,83.02,124.0
Kothihawa,27.5,83.02,124.0
Kakusandah Buddha,27.52,83.0,124.0
Tauleswor,27.53,83.05,125.0
Dharampaniha,27.55,83.08,172.0
Taulihawa,27.53,83.07,122.0
Lamtiha,27.52,83.05,118.0
Hudacenter,27.57,83.1,133.0
Ghandruk,28.45,83.82,3349.0
Lwagghalel,28.43,83.88,2834.0
Lumle,28.37,83.82,1707.0
Bansing,28.35,83.75,2193.0
Salyan,28.27,83.78,1480.0
Dhampus,28.3,83.83,1815.0
Lahachok,28.3,83.92,1172.0
Hemja,28.27,83.93,1102.0
Kaskikot,28.25,83.9,1170.0
Valam,28.25,84.0,1016.0
Pokhara,28.2,83.98,851.0
Pumdibhumdi,28.2,83.88,1398.0
Kalika_2,28.22,84.07,1046.0
Lekhnath,28.13,84.07,680.0
Rupakot_1,28.13,84.12,824.0
Deurali_1,28.12,84.13,932.0
Thumki,28.15,84.18,854.0
Bhorletar,28.15,84.22,498.0
Bhachok,28.23,84.15,1159.0
Mijuredanda,28.3,84.17,1912.0
Chaimale,27.58,85.25,1637.0
