Municipality,latitude,longitude,altitude
Malika Rural Municipality,28.21359,83.14999,2004.0
Ruru Rural Municipality,27.94827,83.42579,881.0
Satyawati Rural Municipality,28.02869,83.47358,1425.0
Banganga Municipality,27.69013,83.21047,168.0
Buddhabhumi Municipality,27.68409,83.00297,119.0
Kapilbastu Municipality,27.5445,83.05356,108.0
Krishnanagar Municipality,27.50662,82.78785,101.0
Maharajgunj Municipality,27.5369,82.94074,102.0
Shivaraj Municipality,27.5445,83.05356,108.0
Bijayanagar Rural Municipality,27.55008,82.83081,105.0
Mayadevi Rural Municipality,27.5246,83.1424,101.0
Suddhodhan Rural Municipality,27.50984,83.19537,97.0
Yashodhara Rural Municipality,27.48504,83.05861,95.0
Bardaghat Municipality,27.56847,83.79448,208.0
Ramgram Municipality,27.52867,83.67453,114.0
Sunwal Municipality,27.61889,83.64176,135.0
Palhi Nandan Rural Municipality,27.4806,83.66486,110.0
Pratappur Rural Municipality,27.45968,83.81821,109.0
Sarawal Rural Municipality,27.49197,83.72584,109.0
Susta Rural Municipality,27.633725066,83.953150123,186.0
Rampur Municipality,27.85795,83.89469,421.0
Tansen Municipality,27.86731,83.5467,1299.0
Bagnaskali Rural Municipality,27.87945,83.60755,944.0
Mathagadhi Rural Municipality,27.76547,83.65733,1291.0
Nisdi Rural Municipality,27.87129,83.81237,358.0
Purbakhola Rural Municipality,27.8241,83.78219,1007.0
Rainadevi Chhahara Rural Municipality,27.85833,83.3507,1544.0
Rambha Rural Municipality,27.86715,83.6886,1722.0
Ribdikot Rural Municipality,27.86674,83.45471,1361.0
Tinau Rural Municipality,27.76465,83.47024,797.0
Pyuthan Municipality,28.25,82.83333,1569.0
Sworgadwary Municipality,28.13282,82.69597,1320.0
Ayirabati Rural Municipality,27.93301,82.94194,395.0
Gaumukhi Rural Municipality,28.25377,83.03231,1291.0
Jhimruk Rural Municipality,28.14881,82.98607,1201.0
Mallarani Rural Municipality,28.07563,82.91985,1259.0
Mandavi Rural Municipality,28.04734,82.77364,1038.0
Naubahini Rural Municipality,28.25316,82.91058,1813.0
Sarumarani Rural Municipality,27.94505,82.83908,634.0
Rolpa Municipality,28.344170708,82.628061641,1519.0
Gangadev Rural Municipality,28.32627,82.51661,1734.0
Lungri Rural Municipality,28.26587,82.81048,1526.0
Madi Rural Municipality,28.40239,82.50796,1219.0
Pariwartan Rural Municipality,28.344170708,82.628061641,1519.0
Runtigadi Rural Municipality,28.17731,82.51468,1785.0
Sunchhahari Rural Municipality,28.38025,82.83012,1999.0
Sunil Smriti Rural Municipality,28.344170708,82.628061641,1519.0
Thawang Rural Municipality,28.45897,82.74293,2701.0
Tribeni Rural Municipality,28.31085,82.43084,1427.0
Bhume Rural Municipality,28.56659,82.68457,2013.0
Putha Uttarganga Rural Municipality,28.65782,82.807,2186.0
Sisne Rural Municipality,28.7806,82.67425,2554.0
Devdaha Municipality,27.63345,83.57195,134.0
Lumbini Sanskritik Municipality,27.46987,83.24785,96.0
Sainamaina Municipality,27.70746,83.30405,135.0
Siddharthanagar Municipality,27.50495,83.43688,108.0
Tillotama Municipality,27.6109,83.49071,124.0
Gaidahawa Rural Municipality,27.59386,83.26242,127.0
Kanchan Rural Municipality,27.63796,83.26374,118.0
Kotahimai Rural Municipality,27.576640942,83.38953577,108.0
Marchawari Rural Municipality,27.41166,83.37358,102.0
Mayadevi Rural Municipality,27.51435,83.36778,103.0
Omsatiya Rural Municipality,27.5251,83.50926,117.0
Rohini Rural Municipality,27.50103,83.5515,106.0
Sammarimai Rural Municipality,27.44609,83.34465,98.0
Siyari Rural Municipality,27.5697,83.37717,109.0
Sudhdhodhan Rural Municipality,27.61418,83.3671,118.0
Butwal Sub-Metropolitian City,27.67465,85.32364,1326.0
Bhaktapur Municipality,27.69093,84.42484,191.0
Changunarayan Municipality,27.71711,85.4318,1493.0
Madhyapur Thimi Municipality,27.67441,85.36008,1319.0
Suryabinayak Municipality,27.666279993796,85.428742542665,1322.0
Bharatpur Metropolitian City,27.6768,84.43589,213.0
Kalika Municipality,27.69543,85.766,1075.0
Khairahani Municipality,27.61623,84.56904,201.0
Madi Municipality,27.43461,84.35334,232.0
Rapti Municipality,27.64944,84.66375,418.0
Ratnanagar Municipality,27.61541,84.51206,196.0
Ichchhyakamana Rural Municipality,27.80278,84.58055,1040.0
Dhunibesi Municipality,27.72283,85.17161,971.0
Nilakantha Municipality,27.86424,84.9283,1461.0
Benighat Rorang Rural Municipality,27.74682,84.75988,943.0
Gajuri Rural Municipality,27.76708,84.86147,1033.0
Galchi Rural Municipality,27.78044,84.98979,878.0
Gangajamuna Rural Municipality,28.09141,84.92378,2325.0
Jwalamukhi Rural Municipality,27.92024,84.79439,845.0
Khaniyabash Rural Municipality,28.03868,85.00189,1308.0
Netrawati Dabjong Rural Municipality,27.98994,84.97375,1618.0
Rubi Valley Rural Municipality,28.22589,85.08414,2419.0
Siddhalek Rural Municipality,27.84644,84.83869,679.0
Thakre Rural Municipality,27.72709,85.09538,1300.0
Tripura Sundari Rural Municipality,27.9407,84.78035,1163.0
Bhimeshwor Municipality,27.67855,86.02374,2056.0
Jiri Municipality,27.63275,86.22571,1943.0
Baiteshwor Rural Municipality,27.63653,86.13459,1666.0
Bigu Rural Municipality,27.84049,86.01372,3572.0
Gaurishankar Rural Municipality,27.88281,86.40671,4032.0
Kalinchok Rural Municipality,27.78933,86.0898,1720.0
Melung Rural Municipality,27.51633,86.07123,1329.0
Sailung Rural Municipality,27.61418,85.97999,1948.0
Tamakoshi Rural Municipality,27.54264,86.1239,2120.0
